@STATION_ID,LATITUDE,LONGITUDE,ALTITUDE(m),TIME(GMT),DATE(GMT),TIME(IST),DATE(IST),AIR_TEMP(°C),WIND_SPEED(m/s),WIND_DIRECTION(deg),ATMO_PRESSURE(hpa),HUMIDITY(%),RAIN_FALL(mm),SUN_SHINE(hh:mm),BATTERY_VOLTAGE(V)
IMDE1662_14167E(AKSHARDHAM),28.61,77.27,null,0,01/01/2015,5:30,01/01/2015,24.4,0.5,330.9,939.7,0.0,0.0,0:0,9953.0
IMDE1662_14167E(AKSHARDHAM),28.61,77.27,null,1,01/01/2015,6:30,01/01/2015,24.7,0.3,312.8,939.8,0.0,0.0,0:0,9953.0
IMDE1662_14167E(AKSHARDHAM),28.61,77.27,null,2,01/01/2015,7:30,01/01/2015,24.4,0.2,350.9,940.3,0.0,0.0,0:0,9953.0
IMDE1662_14167E(AKSHARDHAM),28.61,77.27,null,3,01/01/2015,8:30,01/01/2015,25.0,0.7,334.8,941.1,0.0,0.0,0:0,9953.0
IMDE1662_14167E(AKSHARDHAM),28.61,77.27,null,4,01/01/2015,9:30,01/01/2015,26.3,0.7,333.8,942.8,0.0,0.0,0:0,9953.0
IMDE1662_14167E(AKSHARDHAM),28.61,77.27,null,5,01/01/2015,10:30,01/01/2015,27.7,0.1,26.9,943.0,0.0,0.0,0:0,9953.0
IMDE1662_14167E(AKSHARDHAM),28.61,77.27,null,6,01/01/2015,11:30,01/01/2015,28.5,0.1,210.2,942.3,0.0,0.0,0:0,9953.0
IMDE1662_14167E(AKSHARDHAM),28.61,77.27,null,7,01/01/2015,12:30,01/01/2015,28.9,0.8,349.0,941.3,0.0,0.0,0:0,9953.0
IMDE1662_14167E(AKSHARDHAM),28.61,77.27,null,8,01/01/2015,13:30,01/01/2015,29.4,1.1,67.9,940.4,0.0,0.0,0:0,9953.0
IMDE1662_14167E(AKSHARDHAM),28.61,77.27,null,9,01/01/2015,14:30,01/01/2015,29.7,1.2,350.9,939.8,0.0,0.0,0:0,9953.0
IMDE1662_14167E(AKSHARDHAM),28.61,77.27,null,10,01/01/2015,15:30,01/01/2015,30.0,1.4,328.0,939.5,0.0,0.0,0:0,9953.0
IMDE1662_14167E(AKSHARDHAM),28.61,77.27,null,11,01/01/2015,16:30,01/01/2015,29.7,0.5,342.1,939.7,0.0,0.0,0:0,9953.0
IMDE1662_14167E(AKSHARDHAM),28.61,77.27,null,12,01/01/2015,17:30,01/01/2015,28.1,0.5,173.0,939.8,0.0,0.0,0:0,9953.0
IMDE1662_14167E(AKSHARDHAM),28.61,77.27,null,13,01/01/2015,18:30,01/01/2015,26.5,0.7,310.9,939.9,0.0,0.0,0:0,9953.0
IMDE1662_14167E(AKSHARDHAM),28.61,77.27,null,3,01/02/2015,8:30,01/02/2015,26.5,1.4,155.9,942.7,0.0,3.0,0:0,9953.0
IMDE1662_14167E(AKSHARDHAM),28.61,77.27,null,4,01/02/2015,9:30,01/02/2015,26.6,1.2,188.2,943.7,0.0,1.0,0:0,9953.0
IMDE1662_14167E(AKSHARDHAM),28.61,77.27,null,5,01/02/2015,10:30,01/02/2015,26.8,1.1,153.0,943.9,0.0,2.0,0:0,9953.0
IMDE1662_14167E(AKSHARDHAM),28.61,77.27,null,6,01/02/2015,11:30,01/02/2015,26.7,0.7,172.0,943.5,0.0,3.0,0:0,9953.0
IMDE1662_14167E(AKSHARDHAM),28.61,77.27,null,7,01/02/2015,12:30,01/02/2015,26.8,1.4,185.2,942.8,0.0,4.0,0:0,9953.0
IMDE1662_14167E(AKSHARDHAM),28.61,77.27,null,8,01/02/2015,13:30,01/02/2015,26.6,3.2,63.0,940.9,0.0,4.0,0:0,9953.0
IMDE1662_14167E(AKSHARDHAM),28.61,77.27,null,9,01/02/2015,14:30,01/02/2015,26.7,1.9,65.0,940.7,0.0,4.0,0:0,9953.0
IMDE1662_14167E(AKSHARDHAM),28.61,77.27,null,10,01/02/2015,15:30,01/02/2015,26.7,0.6,62.1,940.9,0.0,4.0,0:0,9953.0
IMDE1662_14167E(AKSHARDHAM),28.61,77.27,null,11,01/02/2015,16:30,01/02/2015,26.7,0.5,16.1,941.0,0.0,5.0,0:0,9953.0
IMDE1662_14167E(AKSHARDHAM),28.61,77.27,null,12,01/02/2015,17:30,01/02/2015,26.7,1.3,56.2,941.0,0.0,5.0,0:0,9953.0
IMDE1662_14167E(AKSHARDHAM),28.61,77.27,null,13,01/02/2015,18:30,01/02/2015,26.4,0.9,41.1,941.6,0.0,6.0,0:0,9953.0
IMDE1662_14167E(AKSHARDHAM),28.61,77.27,null,14,01/02/2015,19:30,01/02/2015,26.4,1.7,74.8,941.7,0.0,6.0,0:0,9953.0
IMDE1662_14167E(AKSHARDHAM),28.61,77.27,null,15,01/02/2015,20:30,01/02/2015,26.4,1.1,92.9,941.6,0.0,6.0,0:0,9953.0
IMDE1662_14167E(AKSHARDHAM),28.61,77.27,null,16,01/02/2015,21:30,01/02/2015,26.5,0.0,359.2,941.7,0.0,7.0,0:0,9953.0
IMDE1662_14167E(AKSHARDHAM),28.61,77.27,null,17,01/02/2015,22:30,01/02/2015,26.5,0.5,179.9,941.8,0.0,7.0,0:0,9953.0
IMDE1662_14167E(AKSHARDHAM),28.61,77.27,null,18,01/02/2015,23:30,01/02/2015,26.5,0.1,12.2,941.5,0.0,7.0,0:0,9953.0
IMDE1662_14167E(AKSHARDHAM),28.61,77.27,null,19,01/02/2015,0:30,01/03/2015,26.4,0.3,203.8,941.3,0.0,7.0,0:0,9953.0
IMDE1662_14167E(AKSHARDHAM),28.61,77.27,null,20,01/02/2015,1:30,01/03/2015,26.4,0.2,154.9,941.4,0.0,7.0,0:0,9953.0
IMDE1662_14167E(AKSHARDHAM),28.61,77.27,null,21,01/02/2015,2:30,01/03/2015,26.5,0.5,267.8,940.8,0.0,8.0,0:0,9953.0
