PRES(hPa),HGHT(m),TEMP(C),DWPT(C),RELH(%),MIXR(g/kg),DRCT(deg),SKNT(knot),THTA(K),THTE(K),THTV(K)
1000,36,,,,,,,,,
973,216,20.8,16.8,78,12.52,0,0,296.3,332.6,298.5
960,349,26.8,19.8,66,15.39,42,5,303.5,349.4,306.3
956,391,26.6,18.6,61,14.32,55,7,303.6,346.4,306.2
942,538,27.2,16.2,51,12.45,102,12,305.5,343.1,307.8
938,581,27.1,15.2,48,11.69,115,14,305.8,341.2,307.9
925,720,26.8,11.8,39,9.48,115,10,306.7,335.7,308.5
914,826,25.9,10.9,39,9.07,115,8,306.9,334.6,308.6
912,845,25.8,10.8,39,8.99,116,8,306.9,334.4,308.6
906,903,25.3,10.5,40,8.89,120,8,306.9,334.2,308.6
876,1196,22.5,9.2,43,8.4,130,7,307,332.8,308.6
850,1459,20,8,46,7.98,145,5,307.1,331.6,308.6
842,1540,19.2,8.1,48,8.09,155,5,307.1,331.9,308.6
823,1736,17.2,8.2,55,8.36,194,4,307,332.6,308.5
803,1945,16,4.7,47,6.7,235,2,307.8,328.6,309.1
797,2009,15.6,3.6,45,6.25,281,2,308.1,327.6,309.2
788,2105,14.7,3.1,46,6.11,350,3,308.1,327.2,309.3
766,2343,12.4,1.9,48,5.76,340,7,308.2,326.2,309.3
754,2476,11.2,1.2,50,5.57,349,6,308.2,325.7,309.3
750,2520,10.8,-0.2,47,5.05,353,6,308.3,324.2,309.2
737,2666,11.6,-12.4,17,2.01,3,5,310.7,317.4,311.1
725,2803,11,-19,10,1.18,13,4,311.5,315.6,311.7
710,2977,11.3,-25.3,6,0.69,25,3,313.7,316.2,313.9
707,3012,11.4,-26.6,5,0.62,10,3,314.2,316.4,314.3
704,3048,11.4,-28.6,4,0.52,355,2,314.6,316.5,314.7
701,3083,11.2,-25.8,6,0.67,340,2,314.8,317.2,314.9
700,3095,11.2,-24.8,6,0.74,325,2,314.9,317.5,315
692,3191,10.6,-21.4,9,1.01,295,3,315.2,318.8,315.4
